N eta mean fluc binder
40 0.9 0.148468904138 0.23641643528 -0.0486027718151
400 0.34 0.767763981214 0.867320198254 -7.12220506235
40 0.02 0.999307010849 5.17482339671e-07 -0.139136351521
40 0.7 0.318550668265 0.413063628349 0.0302210186809
100 0.74 0.189577985157 0.649202471605 0.17393927958
40 0.12 0.975495780318 0.000625253926985 -0.144630767927
40 0.72 0.288491069357 0.423715530056 0.107415843465
1000 0.66 0.188257169204 5.1754888256 0.217731574377
400 0.48 0.563250575936 2.20620432991 -2.26693638904
1000 0.0 1.0 4.29005201368e-26 0.666665075593
1000 0.16 0.942169948317 0.282948134246 -7.12543402567
100 0.12 0.973693236499 0.00132568073642 -2.08681944119
1000 0.2 0.909553188404 0.562182006811 -5.06167744509
400 0.0 1.0 0.0 1.0
400 0.18 0.934208938876 0.070825808272 -11.2240578287
40 0.4 0.746157051757 0.0636953800299 -0.239608073399
400 0.46 0.595714347023 2.05987663261 -3.01204892226
1000 0.44 0.588184408572 7.41483981984 -1.9749322961
40 0.42 0.722453418105 0.0760578716141 -0.128814615845
400 0.22 0.900368880353 0.14622686034 -4.37224649514
1000 0.12 0.966958270621 0.11231495749 -9.34951897937
400 0.1 0.979209934549 0.00834526368162 -9.13842369408
400 0.82 0.0597029893579 0.387543050666 -0.0529093621437
40 0.88 0.154530833005 0.250047887003 -0.0275238491399
1000 0.9 0.0301245949736 0.245451405991 -0.118699126372
100 0.98 0.0886593943681 0.215434950133 -0.0485659828025
1000 0.4 0.656942362415 5.31364043824 -3.21249127236
400 0.04 0.996752287968 0.000343039189527 -31.4814186135
40 0.84 0.170447035437 0.289566285505 0.0546035780706
40 0.98 0.140908627822 0.210512484228 -0.0567186221073
100 0.42 0.700844542543 0.163799371738 -2.25876853008
100 0.94 0.0905211406137 0.219085467473 -0.0633184388304
40 0.5 0.620228365733 0.136689169401 -0.0981504512055
400 0.86 0.0520143765261 0.298321568803 -0.150250658414
1000 0.38 0.688395381505 5.21954292186 -4.29509389199
100 0.64 0.35575772965 0.761973303122 -0.206458103284
1000 0.08 0.985476760199 0.0222216424335 -11.1341915269
400 0.78 0.075826081516 0.595773537272 -0.0041741686132
1000 0.96 0.0283279028475 0.215824434783 -0.0787456066735
40 0.78 0.21290810833 0.364726989818 0.107641325305
40 0.04 0.997248973164 7.86545213675e-06 -0.0747077072859
1000 0.06 0.991883159681 0.0116860059171 -18.2486719741
400 0.66 0.236478348691 2.59178345918 0.109335706765
40 0.48 0.64644968395 0.118683858945 -0.169582274655
100 0.1 0.981577303665 0.000697275448035 -4.39971759772
100 0.88 0.0988325810978 0.261359142304 -0.0957917841889
400 0.76 0.0896720558012 0.781275708759 0.0525711438
400 0.7 0.163085155368 1.80689512316 0.188550355971
100 0.38 0.750526564514 0.113897398001 -1.30163422417
100 0.16 0.953226972217 0.00423320155239 -2.03461729702
100 0.32 0.819563658787 0.0629779097953 -3.35647636644
100 0.58 0.461781566654 0.547382512185 -0.92775183607
1000 0.98 0.0279882870422 0.21034703598 -0.102199021854
100 0.36 0.774860609107 0.0961307446974 -3.15853424741
400 0.12 0.970044001076 0.018338274167 -9.24559647483
40 0.74 0.25893069782 0.414783203784 0.123149273091
400 0.06 0.992475010222 0.00117624460603 -14.662687406
1000 0.04 0.996292568508 0.00171100935408 -8.63084633178
