N eta <d> var(d)
40 0.9 0.254558246946 0.00737185171071
400 0.34 0.174606953462 0.00650656495128
40 0.02 0.232240023494 0.00594297340992
40 0.7 0.232735210934 0.00620203795518
100 0.74 0.229032738012 0.00578526379888
40 0.12 0.224435709839 0.00655428091675
40 0.72 0.239965236358 0.00343447335206
1000 0.66 0.200274341219 0.00380042253259
400 0.48 0.185448150009 0.00535158102616
1000 0.0 0.164005024559 2.66339835229e-13
1000 0.16 0.143077970228 0.00304960894899
100 0.12 0.217008482288 0.00600559181609
1000 0.2 0.150624734186 0.00373488850724
400 0.0 0.234804746274 2.59979754326e-13
400 0.18 0.172345251915 0.00351326267094
40 0.4 0.232199244518 0.00434205835539
400 0.46 0.181099173011 0.003675918679
1000 0.44 0.167360868744 0.00274975562344
40 0.42 0.241832039527 0.00544098972456
400 0.22 0.17314297094 0.00450860422542
1000 0.12 0.141737777854 0.00492082433826
400 0.1 0.18319808948 0.00340864513813
400 0.82 0.238501022868 0.00210830970371
40 0.88 0.243219392452 0.00400232296623
1000 0.9 0.244685759993 0.00131376675071
N eta <d> var(d)
100 0.98 0.254337678637 0.00276840011217
1000 0.4 0.1653367723 0.0043247391215
400 0.04 0.15944441986 0.00317106111695
40 0.84 0.240731051716 0.00653364227472
40 0.98 0.241862077435 0.00470651441815
100 0.42 0.207836612981 0.00755436329134
100 0.94 0.242378920172 0.003309041919
40 0.5 0.236470507911 0.00783536340956
400 0.86 0.24374958892 0.00249850509226
1000 0.38 0.157344640184 0.00330843786887
100 0.64 0.222400445098 0.00609401757268
1000 0.08 0.142006042049 0.00325507888593
400 0.78 0.237795221171 0.00142845492462
1000 0.96 0.249702113841 0.00103888966061
40 0.78 0.232370797935 0.0079027214731
40 0.04 0.23589492493 0.00612525043862
1000 0.06 0.134224147938 0.00448362701359
400 0.66 0.209467984869 0.00294632207023
40 0.48 0.233770302208 0.00628901300585
100 0.1 0.225133714994 0.00410397020068
100 0.88 0.238198415524 0.00476477035779
400 0.76 0.228082822318 0.00337341475512
400 0.7 0.213073957374 0.00346152690956
100 0.38 0.217844711183 0.00641893733714
100 0.16 0.222147128146 0.0049617688694
N eta <d> var(d)
100 0.32 0.219252343673 0.00319177825932
100 0.58 0.214379124844 0.00326499956037
1000 0.98 0.249861705218 0.00121270370005
100 0.36 0.210716572995 0.00667240027999
400 0.12 0.174826755983 0.00439278239126
40 0.74 0.238774344235 0.00653639353821
400 0.06 0.180201562825 0.00703689665127
1000 0.04 0.15304524414 0.00286368781826
40 0.08 0.231257098003 0.00757717215059
400 0.16 0.175538186854 0.0061942580083
40 0.82 0.244490925637 0.00707754056206
1000 0.32 0.15085791005 0.00271197797734
1000 0.64 0.196763025337 0.00245742036993
1000 0.68 0.201550124612 0.00202870652693
40 0.1 0.243785693839 0.00727508996189
400 0.56 0.19219207703 0.00507933350477
40 0.46 0.230619637604 0.00757962538995
400 0.68 0.210693393726 0.00348758762028
1000 0.82 0.240440125083 0.000637799896878
40 0.52 0.246799376592 0.00768711528497
40 0.94 0.256959947439 0.00669704473975
100 0.34 0.212770608867 0.00358591882335
100 0.04 0.221312645612 0.00433335828537
40 0.54 0.242722081135 0.00572334873767
100 0.0 0.224855256798 1.31078513605e-12
N eta <d> var(d)
400 0.44 0.183726208523 0.00595383259719
40 0.06 0.241017484643 0.003886166348
1000 0.22 0.152782216308 0.00381341055604
400 0.02 0.19091399106 0.00503876486363
1000 0.14 0.151390491879 0.00395167390241
100 0.62 0.218396065512 0.00572315655989
