N eta rho kappa
40 0.9 10.45961 3.69005305614
400 0.34 35.693059 22.6562958738
40 0.02 11.246175 358.500409634
40 0.7 11.75887 3.31391273133
100 0.74 16.546628 7.35759512259
40 0.12 12.924095 77.575619122
40 0.72 11.694365 3.36333852271
1000 0.66 30.2548048 12.242418355
400 0.48 33.541016 13.0040412096
1000 0.0 39.42 100.04896079
1000 0.16 59.927258 107.974436887
100 0.12 21.803836 107.090691463
1000 0.2 55.1621752 74.2942327316
400 0.18 39.425327 72.4126987936
40 0.4 12.119275 7.2040769502
400 0.46 33.66747 14.2962269915
1000 0.44 46.7465092 17.9185601485
40 0.42 12.257965 6.87473878718
400 0.22 35.389895 49.2456428487
1000 0.12 56.6592648 148.41505758
400 0.1 37.155902 161.620329746
400 0.82 15.154929 14.6213400072
40 0.88 10.68961 3.54322621596
1000 0.9 13.5184844 16.4142427217
N eta rho kappa
100 0.98 12.524544 8.52991030734
1000 0.4 49.2050652 20.5272674302
400 0.04 46.429223 303.286866919
40 0.84 10.91415 3.55200251896
40 0.98 10.267775 3.65992355894
100 0.42 20.654524 11.4292114948
100 0.94 12.871712 8.59561821988
40 0.5 12.04678 4.72263188386
400 0.86 14.140201 14.8803726122
1000 0.38 51.0123644 22.0897070376
100 0.64 18.58854 6.8801422945
1000 0.08 55.6260004 230.929189702
400 0.78 16.925686 13.9065827828
1000 0.96 12.839556 16.1917336805
40 0.78 11.32823 3.44955419891
40 0.04 12.01743 313.252846034
1000 0.06 66.8376308 261.296523233
400 0.66 25.773294 10.3810125478
40 0.48 11.98423 5.60719844561
100 0.1 21.45404 152.62366036
100 0.88 13.438832 8.67146993448
400 0.76 17.912254 13.5981780418
400 0.7 22.256063 10.9952814325
100 0.38 20.195636 13.1730406526
100 0.16 20.76844 60.6712734924
N eta rho kappa
100 0.32 20.540236 17.7115877361
100 0.58 19.27858 7.47359548888
1000 0.98 12.7067352 16.0645257679
100 0.36 20.703492 14.940197555
400 0.12 36.921349 141.824159109
40 0.74 11.484785 3.33186976673
400 0.06 36.398916 273.76744563
1000 0.04 51.5044356 262.538779125
40 0.08 12.179375 149.270555811
400 0.16 39.785282 89.0340884544
40 0.82 11.02237 3.69689959601
1000 0.32 53.514162 32.4006035226
1000 0.64 32.61573 12.2296903728
1000 0.68 28.2293524 12.6968314874
40 0.1 12.27641 112.479791081
400 0.56 30.295131 10.7403564988
40 0.46 12.097655 5.94203353649
400 0.68 24.063818 10.8490438694
1000 0.82 15.305582 16.5650583687
40 0.52 12.031415 4.99714877791
40 0.94 10.37193 3.69618512658
100 0.34 20.784724 15.7434116907
100 0.04 18.751612 278.169164374
40 0.54 11.90441 4.37426510349
100 0.0 13.52 100.04896079
N eta rho kappa
400 0.44 33.952599 14.2974525126
40 0.06 12.159065 220.525983275
1000 0.22 55.0390348 61.9805589997
400 0.02 25.472914 273.882685388
1000 0.14 57.9337024 125.403591941
100 0.62 18.882572 7.0672843202
1000 0.76 18.7801804 15.5714973395
40 0.44 12.171355 6.02138176974
40 0.58 11.90281 4.01918281604
100 0.18 20.91008 50.1658083434
40 0.66 11.769255 3.45672058676
100 0.06 21.594552 253.45226555
400 0.62 28.436908 10.3314100065
100 0.14 21.381308 83.4517500743
100 0.4 20.408796 12.9561368111
100 0.7 17.538864 6.92716809542
1000 0.56 40.2759496 12.9886686201
1000 0.02 41.5226816 317.368660159
400 0.4 34.063629 17.2578490779
1000 0.3 53.6176108 34.6780823834
400 0.92 13.178965 14.7084957166
100 0.66 18.262764 6.88030720752
400 0.94 12.96662 14.7770616028
100 0.68 17.912748 6.92140679521
1000 0.48 45.086224 15.825225822
N eta rho kappa
100 0.6 18.974204 6.92980632428
100 0.22 21.07974 35.5752753731
100 0.52 19.493044 8.36125808181
1000 0.52 43.9192212 13.4841804446
40 0.18 12.28856 33.4123436319
100 0.5 19.83074 8.99168568836
40 0.36 12.22211 8.18846167455
400 0.98 12.664483 14.5515808431
100 0.8 15.00096 8.16173105244
100 0.44 20.042928 10.2832008139
1000 0.42 47.8775632 19.0569222864
100 0.46 19.949068 9.6397978425
400 0.32 36.088333 24.7138394475
400 0.3 36.401266 28.707162501
1000 0.36 51.491616 24.9519862234
100 0.54 19.533452 7.90919893075
1000 0.62 35.402866 12.2369823717
1000 0.8 16.2271004 16.483073219
400 0.28 36.412884 31.3525267754
1000 0.7 25.0050084 13.3852637334
40 0.8 11.188155 3.41693631593
N eta rho kappa
1000 0.92 13.2713236 16.4349313422
40 0.76 11.40665 3.457540902
1000 0.18 56.7946052 82.4748533514
400 0.84 14.547195 14.6266257475
1000 0.1 57.2578584 174.950422076
100 0.9 13.227624 8.39456248854
100 0.72 16.963312 7.28997080858
400 0.14 38.284959 108.748568282
1000 0.74 20.5436012 14.9760694622
40 0.38 12.221225 7.64050093298
100 0.56 19.35564 7.7532731575
40 0.2 12.415245 25.7553214773
400 0.72 20.600974 11.6817112544
400 0.64 26.73128 10.0628185465
1000 0.78 17.1471828 16.2200562547
